"filename", "language", "JSON with Comments", "JavaScript", "JSON", "TypeScript", "TypeScript JSX", "CSS", "XML", "Markdown", "HTML", "MS SQL", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new system\package-lock.json", "JSON", 0, 0, 7450, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7451
"c:\Users\omnora\OneDrive\Desktop\new system\package.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\omnora\OneDrive\Desktop\new system\supabase\migrations\01_init_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 12, 19, 183
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 14, 74
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\eslint.config.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\package-lock.json", "JSON", 0, 0, 3932, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3933
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\package.json", "JSON", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\public\icons.svg", "XML", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 1, 15, 110
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\assets\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\BatchVaultControl.tsx", "TypeScript JSX", 0, 0, 0, 0, 363, 0, 0, 0, 0, 0, 12, 25, 400
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\BillingDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 5, 14, 209
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\CreateJobOrder.tsx", "TypeScript JSX", 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 3, 19, 176
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\JobOrderManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 1, 21, 252
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\KarigarChalanPrint.tsx", "TypeScript JSX", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 8, 11, 152
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\KhataModule.tsx", "TypeScript JSX", 0, 0, 0, 0, 232, 0, 0, 0, 0, 0, 5, 18, 255
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\SettingsView.tsx", "TypeScript JSX", 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 10, 159
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\SmartSourcingForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 2, 15, 190
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\admin\SystemConfigurator.tsx", "TypeScript JSX", 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 4, 13, 190
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\auth\SecureNodeQR.tsx", "TypeScript JSX", 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 5, 16, 135
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\devices\DeviceManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 1, 16, 207
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\inventory\AddBatchForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 6, 23, 245
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\inventory\InventoryList.tsx", "TypeScript JSX", 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 1, 10, 191
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\inventory\LabelPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 7, 13, 137
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\layout\DashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 2, 14, 138
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\layout\DeviceGuard.tsx", "TypeScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 2, 14, 99
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\layout\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 8, 51
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\hooks\useDevices.ts", "TypeScript", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 3, 16, 127
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\hooks\useInventory.ts", "TypeScript", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 2, 14, 100
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\hooks\useSettings.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 2, 8, 54
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\index.css", "CSS", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 11, 59
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\lib\protocols.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 7, 27
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\lib\supabase.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\lib\utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\services\CalculationEngine.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 8, 63
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\services\IndustrialCalculationService.test.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 14, 7, 73
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\services\IndustrialCalculationService.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 2, 12, 100
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\types\database.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 4, 6, 49
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\tailwind.config.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\textile-scanner\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\textile-scanner\app.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\textile-scanner\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 3, 9
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\textile-scanner\package-lock.json", "JSON", 0, 0, 8941, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8942
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\textile-scanner\package.json", "JSON", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\textile-scanner\tsconfig.json", "JSON with Comments", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\tsconfig.app.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\tsconfig.json", "JSON with Comments", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\tsconfig.node.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\vite.config.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\app.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\eas.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\package-lock.json", "JSON", 0, 0, 10095, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10096
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\package.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\components\BatchLedgerView.tsx", "TypeScript JSX", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 1, 8, 99
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\hooks\useScanner.ts", "TypeScript", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 5, 10, 82
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\hooks\useTransaction.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 7, 13, 77
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\lib\protocols.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 8, 30
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\lib\supabase.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\lib\types.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\screens\ExecutiveDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 244, 0, 0, 0, 0, 0, 4, 14, 262
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\screens\PartyLedgerView.tsx", "TypeScript JSX", 0, 0, 0, 0, 277, 0, 0, 0, 0, 0, 4, 15, 296
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\screens\QRScannerScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 8, 24, 202
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\screens\ScannerScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 10, 25, 236
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\src\store\useProductStore.ts", "TypeScript", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 6, 17, 126
"c:\Users\omnora\OneDrive\Desktop\new system\textile-mobile\tsconfig.json", "JSON with Comments", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"Total", "-", 22, 53, 30668, 766, 3997, 48, 27, 60, 13, 152, 160, 585, 36551